species,atom1,atom2,wiberg_bond_order,bond_length
Ac2_rdkit_conf_4,9,0,0.0000,6.809100604935795
Ac2_rdkit_conf_4,9,1,0.0002,5.982611705276718
Ac2_rdkit_conf_4,9,2,0.0000,6.50224592960863
Ac2_rdkit_conf_4,9,3,0.0000,6.502632793404069
Ac2_rdkit_conf_4,9,4,0.0005,4.585420079956688
Ac2_rdkit_conf_4,9,5,0.0065,3.6780265835915325
Ac2_rdkit_conf_4,9,6,0.0016,4.216709423832404
Ac2_rdkit_conf_4,9,7,0.0060,2.3952992641933073
Ac2_rdkit_conf_4,9,8,0.9718,1.5045172609561517
Ac2_rdkit_conf_4,10,0,0.0000,6.67053458254389
Ac2_rdkit_conf_4,10,1,0.0000,6.097457116391471
Ac2_rdkit_conf_4,10,2,0.0000,6.74706107808585
Ac2_rdkit_conf_4,10,3,0.0000,6.747330607416905
Ac2_rdkit_conf_4,10,4,0.0001,4.644479257032051
Ac2_rdkit_conf_4,10,5,0.0008,4.0456377385486455
Ac2_rdkit_conf_4,10,6,0.0006,4.846043481118386
Ac2_rdkit_conf_4,10,7,0.0050,2.6918798405987587
Ac2_rdkit_conf_4,10,8,0.0559,2.4029410362948984
Ac2_rdkit_conf_4,10,9,1.7661,1.1986797334088033
Ac2_rdkit_conf_4,11,0,0.0000,8.06703056870327
Ac2_rdkit_conf_4,11,1,0.0001,7.139216166861598
Ac2_rdkit_conf_4,11,2,0.0000,7.556137584650376
Ac2_rdkit_conf_4,11,3,0.0000,7.556662515076083
Ac2_rdkit_conf_4,11,4,0.0003,5.793902309791389
Ac2_rdkit_conf_4,11,5,0.0005,4.749833309498345
Ac2_rdkit_conf_4,11,6,0.0001,5.047382704213046
Ac2_rdkit_conf_4,11,7,0.0052,3.582061217620241
Ac2_rdkit_conf_4,11,8,0.0164,2.3505295182500903
Ac2_rdkit_conf_4,11,9,1.0626,1.338455999328331
Ac2_rdkit_conf_4,11,10,0.1517,2.235900760076127
Ac2_rdkit_conf_4,12,9,0.0000,6.732200295846299
Ac2_rdkit_conf_4,12,10,0.0000,6.487852649667685
Ac2_rdkit_conf_4,12,11,0.0000,8.014941617358732
Ac2_rdkit_conf_4,13,9,0.0000,7.849918350660789
Ac2_rdkit_conf_4,13,10,0.0000,7.750373639217015
Ac2_rdkit_conf_4,13,11,0.0000,9.086025913443292
Ac2_rdkit_conf_4,14,9,0.0000,6.732445985090486
Ac2_rdkit_conf_4,14,10,0.0000,6.488032629307439
Ac2_rdkit_conf_4,14,11,0.0000,8.015272307969768
Ac2_rdkit_conf_4,15,9,0.0000,6.247300806304351
Ac2_rdkit_conf_4,15,10,0.0000,6.68021658491594
Ac2_rdkit_conf_4,15,11,0.0000,7.166002382370593
Ac2_rdkit_conf_4,16,9,0.0000,6.383221023165734
Ac2_rdkit_conf_4,16,10,0.0000,6.5312442747844
Ac2_rdkit_conf_4,16,11,0.0000,7.460379697220578
Ac2_rdkit_conf_4,17,9,0.0000,7.583198517829465
Ac2_rdkit_conf_4,17,10,0.0000,7.8130592460540065
Ac2_rdkit_conf_4,17,11,0.0000,8.634565624791616
Ac2_rdkit_conf_4,18,9,0.0000,6.383836786935972
Ac2_rdkit_conf_4,18,10,0.0000,6.531669228370647
Ac2_rdkit_conf_4,18,11,0.0000,7.461226084423726
Ac2_rdkit_conf_4,19,9,0.0000,7.583548324866732
Ac2_rdkit_conf_4,19,10,0.0000,7.813296162162164
Ac2_rdkit_conf_4,19,11,0.0000,8.635054088284278
Ac2_rdkit_conf_4,20,9,0.0000,6.247760397171534
Ac2_rdkit_conf_4,20,10,0.0000,6.680546049251363
Ac2_rdkit_conf_4,20,11,0.0000,7.16661237208634
Ac2_rdkit_conf_4,21,9,0.0028,2.4742123300990158
Ac2_rdkit_conf_4,21,10,0.0048,2.2872867559081875
Ac2_rdkit_conf_4,21,11,0.0014,3.798367979100235
Ac2_rdkit_conf_4,22,9,0.0060,2.1229330561141113
Ac2_rdkit_conf_4,22,10,0.0137,3.096223754992684
Ac2_rdkit_conf_4,22,11,0.0021,2.5931530646647145
Ac2_rdkit_conf_4,23,9,0.0060,2.1229385951140936
Ac2_rdkit_conf_4,23,10,0.0137,3.0962009668647155
Ac2_rdkit_conf_4,23,11,0.0021,2.593070625678561
Ac2_rdkit_conf_4,24,9,0.0018,1.8742448636320173
Ac2_rdkit_conf_4,24,10,0.0045,2.2941414940430334
Ac2_rdkit_conf_4,24,11,0.7328,0.9682110757355542
