species,atom,npa_charge,wiberg_total,nmr_shielding,cm5_charge,hirshfeld_charge,ox_npa_charge,ox_cm5_charge,ox_hirshfeld_charge,red_npa_charge,red_cm5_charge,red_hirshfeld_charge,fukui_plus,fukui_minus,fukui_rad
Ac2,13,0.21284995801070733,0.9552824025771567,30.88368551026917,0.060186926004454945,0.023943197560593796,0.1587603159857746,0.07336783138655265,0.037124734521328015,0.13282371806141458,0.051597886910350145,0.01535415846648899,-0.008589039094104745,-0.013181536960734217,0.004592497866629411
Ac5,13,0.21989060157002036,0.9525036081308993,30.172022112062287,0.08869477262310382,0.03232424333192941,0.25624598623937545,0.11755809230911783,0.06118756301794341,0.18994989929555328,0.062075773678364664,0.005705087404119343,-0.026619155927810053,-0.028863319686013994,0.0022441637582039436
Ac7,13,0.21071000000000004,0.9567000000000001,30.3054,0.086896,0.032208,0.25702,0.12371600000000002,0.069028,0.17641088913155317,0.05508653347893191,0.00039853347893190484,-0.03180946652106809,-0.03682,0.005010533478931905
Ac4,13,0.17753110289207413,0.9704661041464016,28.222104349039096,0.09609810406012545,0.034904891615500304,0.2101409677273707,0.12462553612537153,0.06343272481962998,0.1661753825254445,0.08111761231099647,0.019925377313289465,-0.014979514302210839,-0.02852783320412965,0.013548318901918752
Ac3,13,-0.31935,1.0365,265.5458,-0.122213,-0.099032,-0.29607,-0.096068,-0.072886,-0.33743,-0.144653,-0.121472,-0.02244,-0.0261459999999999,0.0037059999999999
Ac4,13,0.17753110289207413,0.9704661041464016,28.222104349039096,0.09609810406012545,0.034904891615500304,0.2101409677273707,0.12462553612537153,0.06343272481962998,0.1661753825254445,0.08111761231099647,0.019925377313289465,-0.014979514302210839,-0.02852783320412965,0.013548318901918752
Ac2,14,0.21295602925696966,0.9553703288057876,30.830487730125533,0.06017222967168014,0.022778668056072076,0.15076209311177782,0.06700296144259744,0.02960944292182315,0.14117619432979253,0.05607091336687353,0.018677351751265465,-0.004101316304806546,-0.006830774865751067,0.002729458560944463
Ac5,14,0.2151796516406311,0.9546703951447807,30.985420380439283,0.08890481673239203,0.03518720012967315,0.2278749515011862,0.10317146291944364,0.049454034355100124,0.20577175863204072,0.07423975539079675,0.02052229577114878,-0.014664904358524276,-0.014266834225426963,-0.0003980701330973276
Ac7,14,0.19391000000000003,0.9643000000000002,30.875300000000003,0.084085,0.028331,0.21653,0.104984,0.04923000000000001,0.17713,0.06748254445657766,0.011728544456577658,-0.01660245554342234,-0.020899,0.004296544456577659
Ac4,14,0.22248593269361328,0.9519310701965995,24.332418045579004,0.10382857618902357,0.043603976289551566,0.25798746500067377,0.14389611115311707,0.0836720875616796,0.18635697645271693,0.06618000377375735,0.005955403874285349,-0.037648572415266215,-0.04006811127212796,0.002419538856861746
Ac3,14,-0.3205,1.0343,240.1409,-0.132426,-0.110745,-0.29614,-0.10519,-0.083509,-0.33992,-0.156576,-0.134895,-0.0241499999999999,-0.0272359999999999,0.003086
Ac4,14,0.22248593269361328,0.9519310701965995,24.332418045579004,0.10382857618902357,0.043603976289551566,0.25798746500067377,0.14389611115311707,0.0836720875616796,0.18635697645271693,0.06618000377375735,0.005955403874285349,-0.037648572415266215,-0.04006811127212796,0.002419538856861746
Ac2,15,0.22924182845758517,0.9481291807298771,29.90257420077981,0.062328479842555934,0.022257948953863523,0.15641300772183817,0.06572441455283738,0.025654515242781478,0.16348101887564753,0.060885169272475836,0.020814638383783418,-0.001443310570080039,-0.0033965662889179527,0.001953255718837851
Ac5,15,0.21513073481560038,0.9548659162491655,30.18874834029647,0.09044881364806912,0.03621125955404161,0.22315117480264746,0.10154602930136039,0.04730863219040379,0.20590264381219078,0.07782044054162778,0.023583729464529364,-0.012627530089512161,-0.01109737263636217,-0.0015301574531499749
Ac7,15,0.20386248102112714,0.9597156365615181,30.531525956898484,0.08444036234765427,0.029476303484558593,0.23694438624830289,0.11068337581623086,0.05571931695313517,0.17860315660089532,0.061522841204018686,0.006557941467203947,-0.02291836201735465,-0.026243013468576527,0.003324651451221877
Ac4,15,0.2159548724945631,0.9542389750047616,23.69038717186826,0.10477365630827244,0.048597555380879204,0.25892048740670304,0.14563751426186441,0.08946101219558758,0.17708238951231842,0.0451391295686007,-0.011037372497676138,-0.05963492787855529,-0.04086345681470838,-0.018771471063846867
Ac3,15,-0.32048,1.0343,239.1507,-0.132775,-0.111153,-0.29591,-0.105407,-0.083785,-0.34005,-0.157024,-0.135403,-0.0242499999999999,-0.027368,0.003118
Ac4,15,0.2159548724945631,0.9542389750047616,23.69038717186826,0.10477365630827244,0.048597555380879204,0.25892048740670304,0.14563751426186441,0.08946101219558758,0.17708238951231842,0.0451391295686007,-0.011037372497676138,-0.05963492787855529,-0.04086345681470838,-0.018771471063846867
Ac2,16,0.22047955651543633,0.9520707193417816,30.448572014252075,0.05903899181980548,0.021837499074947486,0.15131540212626798,0.0669837766998637,0.02978228395500571,0.13966772696282295,0.05570614778563033,0.01850465504077234,-0.0033328440341751486,-0.007944784880058158,0.004611940845883013
Ac5,16,0.21973812863906234,0.9524898641114439,30.395136367961236,0.091087781404462,0.03681891103129998,0.22865363180478054,0.10296760822114208,0.04869858086490915,0.21186683795960354,0.07777114750788396,0.023502120151651037,-0.013316790879648861,-0.011879669833609099,-0.001437121046039751
