species,atom,npa_charge,wiberg_total,nmr_shielding,cm5_charge,hirshfeld_charge,ox_npa_charge,ox_cm5_charge,ox_hirshfeld_charge,red_npa_charge,red_cm5_charge,red_hirshfeld_charge
Ac4_rdkit_conf_2,5,-0.25398,3.9589,47.8417,-0.109977,-0.05402,-0.01319,0.029862,0.085819,-0.2475,-0.162296,-0.106339
Ac4_rdkit_conf_2,6,-0.13309,3.95,27.4445,-0.074131,-0.022562,-0.14357,-0.024391,0.027179,-0.25301,-0.155379,-0.103809
Ac4_rdkit_conf_2,7,-0.23274,3.9996,50.7594,-0.032773,-0.034401,-0.1163,0.037121,0.035493,-0.32527,-0.102507,-0.104136
Ac4_rdkit_conf_2,8,0.78413,3.8424,4.1590,0.261759,0.20623,0.75402,0.277187,0.221658,0.69393,0.169988,0.114459
Ac4_rdkit_conf_2,9,-0.60694,2.0016,-116.4169,-0.341144,-0.288714,-0.52952,-0.280244,-0.227814,-0.73303,-0.449068,-0.396639
Ac4_rdkit_conf_2,10,-0.66191,1.9904,108.7547,-0.367158,-0.174029,-0.65527,-0.351961,-0.158833,-0.70339,-0.420497,-0.227368
Ac4_rdkit_conf_2,11,0.20214,0.9598,27.8148,0.113112,0.051769,0.24062,0.145808,0.084465,0.17403,0.089305,0.027962
Ac4_rdkit_conf_2,12,0.17411,0.9718,28.3727,0.098281,0.038479,0.21221,0.130487,0.070685,0.15855,0.080378,0.020576
Ac4_rdkit_conf_2,13,0.17397,0.9718,28.3880,0.098065,0.03827,0.21198,0.130256,0.070461,0.15846,0.080158,0.020364
Ac4_rdkit_conf_2,14,0.22101,0.9527,24.4862,0.100533,0.03991,0.254,0.13834,0.077718,0.18586,0.063582,0.002959
Ac4_rdkit_conf_2,15,0.21511,0.9546,23.6838,0.104345,0.048149,0.25704,0.144503,0.088307,0.17617,0.044599,-0.011597
Ac4_rdkit_conf_2,16,0.21965,0.9525,24.2976,0.101606,0.045351,0.25235,0.155639,0.099384,0.18175,0.06272,0.006465
Ac4_rdkit_conf_2,17,0.24242,0.9422,22.6731,0.111802,0.048791,0.28054,0.146807,0.083796,0.21482,0.06997,0.00696
Ac4_rdkit_conf_2,18,0.49293,0.7599,25.4724,0.358406,0.179655,0.51888,0.384924,0.206174,0.46137,0.318597,0.139847
Ac3_rdkit_conf_1,0,-0.57395,2.0352,-127.6635,-0.317972,-0.267438,-0.49852,-0.259079,-0.208546,-0.70195,-0.428023,-0.37749
Ac3_rdkit_conf_1,1,0.77863,3.8437,7.6059,0.268478,0.213222,0.74424,0.28231,0.227055,0.7064,0.183761,0.128505
Ac3_rdkit_conf_1,2,-0.68048,1.9687,125.1630,-0.364223,-0.166138,-0.667,-0.34382,-0.145735,-0.71689,-0.411169,-0.213084
Ac3_rdkit_conf_1,3,-0.1645,4.0077,34.9610,-0.009055,-0.00587,-0.08899,0.060587,0.063771,-0.29027,-0.088967,-0.085782
Ac3_rdkit_conf_1,4,-0.12394,3.9395,34.2300,-0.056189,-0.008674,-0.1245,-0.000295,0.04722,-0.16573,-0.10945,-0.061935
Ac3_rdkit_conf_1,5,-0.1415,4.0065,30.7739,-0.020983,-0.018689,0.1543,0.122042,0.124336,-0.17844,-0.072724,-0.070431
Ac3_rdkit_conf_1,6,0.97997,3.7223,55.1002,0.343581,0.28851,0.94033,0.363034,0.307964,0.98174,0.326091,0.271021
Ac3_rdkit_conf_1,7,-0.31725,1.0394,265.8609,-0.120638,-0.097507,-0.28839,-0.089467,-0.066335,-0.3352,-0.143777,-0.120645
Ac3_rdkit_conf_1,8,-0.32122,1.0333,239.8121,-0.133159,-0.111509,-0.28583,-0.095101,-0.073452,-0.34238,-0.158006,-0.136357
Ac3_rdkit_conf_1,9,-0.32121,1.0333,239.6429,-0.133207,-0.111567,-0.28578,-0.09511,-0.07347,-0.34239,-0.158075,-0.136435
Ac3_rdkit_conf_1,10,-0.13676,3.9462,37.0023,-0.061767,-0.014409,-0.10774,0.002317,0.049674,-0.35007,-0.17894,-0.131583
Ac3_rdkit_conf_1,11,-0.14204,4.0066,30.5936,-0.021478,-0.01911,-0.11352,0.032306,0.034674,-0.1558,-0.068211,-0.065843
Ac3_rdkit_conf_1,12,0.98023,3.7219,55.0777,0.343611,0.288588,0.97037,0.356465,0.301442,0.98298,0.329658,0.274635
Ac3_rdkit_conf_1,13,-0.31935,1.0365,265.5458,-0.122213,-0.099032,-0.29607,-0.096068,-0.072886,-0.33743,-0.144653,-0.121472
Ac3_rdkit_conf_1,14,-0.3205,1.0343,240.1409,-0.132426,-0.110745,-0.29614,-0.10519,-0.083509,-0.33992,-0.156576,-0.134895
Ac3_rdkit_conf_1,15,-0.32048,1.0343,239.1507,-0.132775,-0.111153,-0.29591,-0.105407,-0.083785,-0.34005,-0.157024,-0.135403
Ac3_rdkit_conf_1,16,-0.12645,3.9446,32.5408,-0.059162,-0.011787,0.13248,0.09098,0.138355,-0.21393,-0.131183,-0.083808
Ac3_rdkit_conf_1,17,0.50406,0.7483,25.4242,0.36852,0.191163,0.53028,0.39591,0.218553,0.47304,0.330248,0.152891
