File,atom1,atom2,bonding
Ac2_rdkit_conf_4,10,6,0.0006
Ac2_rdkit_conf_4,10,7,0.0050
Ac2_rdkit_conf_4,10,8,0.0559
Ac2_rdkit_conf_4,10,9,1.7661
Ac2_rdkit_conf_4,11,0,0.0000
Ac2_rdkit_conf_4,11,1,0.0001
Ac2_rdkit_conf_4,11,2,0.0000
Ac2_rdkit_conf_4,11,3,0.0000
Ac2_rdkit_conf_4,11,4,0.0003
Ac2_rdkit_conf_4,11,5,0.0005
Ac2_rdkit_conf_4,11,6,0.0001
Ac2_rdkit_conf_4,11,7,0.0052
Ac2_rdkit_conf_4,11,8,0.0164
Ac2_rdkit_conf_4,11,9,1.0626
Ac2_rdkit_conf_4,11,10,0.1517
Ac2_rdkit_conf_4,12,8,0.0000
Ac2_rdkit_conf_4,12,9,0.0000
Ac2_rdkit_conf_4,12,10,0.0000
Ac2_rdkit_conf_4,12,11,0.0000
Ac2_rdkit_conf_4,13,8,0.0001
Ac2_rdkit_conf_4,13,9,0.0000
Ac2_rdkit_conf_4,13,10,0.0000
Ac2_rdkit_conf_4,13,11,0.0000
Ac2_rdkit_conf_4,14,8,0.0000
Ac2_rdkit_conf_4,14,9,0.0000
Ac2_rdkit_conf_4,14,10,0.0000
Ac2_rdkit_conf_4,14,11,0.0000
Ac2_rdkit_conf_4,15,8,0.0000
Ac2_rdkit_conf_4,15,9,0.0000
Ac2_rdkit_conf_4,15,10,0.0000
Ac2_rdkit_conf_4,15,11,0.0000
Ac2_rdkit_conf_4,16,8,0.0000
Ac2_rdkit_conf_4,16,9,0.0000
Ac2_rdkit_conf_4,16,10,0.0000
Ac2_rdkit_conf_4,16,11,0.0000
Ac2_rdkit_conf_4,17,8,0.0001
Ac2_rdkit_conf_4,17,9,0.0000
Ac2_rdkit_conf_4,17,10,0.0000
Ac2_rdkit_conf_4,17,11,0.0000
Ac2_rdkit_conf_4,18,8,0.0000
Ac2_rdkit_conf_4,18,9,0.0000
Ac2_rdkit_conf_4,18,10,0.0000
Ac2_rdkit_conf_4,18,11,0.0000
Ac2_rdkit_conf_4,19,8,0.0001
Ac2_rdkit_conf_4,19,9,0.0000
Ac2_rdkit_conf_4,19,10,0.0000
Ac2_rdkit_conf_4,19,11,0.0000
Ac2_rdkit_conf_4,20,8,0.0000
Ac2_rdkit_conf_4,20,9,0.0000
Ac2_rdkit_conf_4,20,10,0.0000
Ac2_rdkit_conf_4,20,11,0.0000
Ac2_rdkit_conf_4,21,8,0.0030
Ac2_rdkit_conf_4,21,9,0.0028
Ac2_rdkit_conf_4,21,10,0.0048
Ac2_rdkit_conf_4,21,11,0.0014
Ac2_rdkit_conf_4,22,8,0.8957
Ac2_rdkit_conf_4,22,9,0.0060
Ac2_rdkit_conf_4,22,10,0.0137
Ac2_rdkit_conf_4,22,11,0.0021
Ac2_rdkit_conf_4,23,8,0.8957
Ac2_rdkit_conf_4,23,9,0.0060
Ac2_rdkit_conf_4,23,10,0.0137
Ac2_rdkit_conf_4,23,11,0.0021
Ac2_rdkit_conf_4,24,8,0.0143
Ac2_rdkit_conf_4,24,9,0.0018
Ac2_rdkit_conf_4,24,10,0.0045
Ac2_rdkit_conf_4,24,11,0.7328
Ac7_rdkit_conf_2,1,0,1.7752
Ac7_rdkit_conf_2,2,0,0.1497
Ac7_rdkit_conf_2,2,1,1.0392
Ac7_rdkit_conf_2,3,0,0.0511
Ac7_rdkit_conf_2,3,1,0.9616
Ac7_rdkit_conf_2,3,2,0.0150
Ac7_rdkit_conf_2,4,0,0.0047
Ac7_rdkit_conf_2,4,1,0.0054
Ac7_rdkit_conf_2,4,2,0.0071
Ac7_rdkit_conf_2,4,3,1.0033
Ac7_rdkit_conf_2,5,0,0.0015
Ac7_rdkit_conf_2,5,1,0.0082
Ac7_rdkit_conf_2,5,2,0.0003
Ac7_rdkit_conf_2,5,3,0.0045
Ac7_rdkit_conf_2,6,0,0.0001
Ac7_rdkit_conf_2,6,1,0.0002
Ac7_rdkit_conf_2,6,2,0.0001
Ac7_rdkit_conf_2,6,3,0.0023
Ac7_rdkit_conf_2,7,0,0.0022
Ac7_rdkit_conf_2,7,1,0.0085
Ac7_rdkit_conf_2,7,2,0.0012
Ac7_rdkit_conf_2,7,3,0.0045
Ac7_rdkit_conf_2,8,0,0.0136
Ac7_rdkit_conf_2,8,1,0.0116
Ac7_rdkit_conf_2,8,2,0.0032
Ac7_rdkit_conf_2,8,3,0.9871
Ac7_rdkit_conf_2,9,0,0.0048
Ac7_rdkit_conf_2,9,1,0.0019
Ac7_rdkit_conf_2,9,2,0.7366
Ac7_rdkit_conf_2,9,3,0.0151
Ac7_rdkit_conf_2,10,0,0.0122
Ac7_rdkit_conf_2,10,1,0.0041
Ac7_rdkit_conf_2,10,2,0.0012
Ac7_rdkit_conf_2,10,3,0.8970
Ac7_rdkit_conf_2,11,0,0.0002
Ac7_rdkit_conf_2,11,1,0.0014
Ac7_rdkit_conf_2,11,2,0.0002
Ac7_rdkit_conf_2,11,3,0.0008
Ac7_rdkit_conf_2,12,0,0.0005
Ac7_rdkit_conf_2,12,1,0.0015
Ac7_rdkit_conf_2,12,2,0.0004
Ac7_rdkit_conf_2,12,3,0.0017
Ac7_rdkit_conf_2,13,0,0.0001
Ac7_rdkit_conf_2,13,1,0.0002
Ac7_rdkit_conf_2,13,2,0.0000
Ac7_rdkit_conf_2,13,3,0.0010
Ac7_rdkit_conf_2,14,0,0.0001
Ac7_rdkit_conf_2,14,1,0.0005
Ac7_rdkit_conf_2,14,2,0.0003
Ac7_rdkit_conf_2,14,3,0.0093
Ac7_rdkit_conf_2,15,0,0.0000
Ac7_rdkit_conf_2,15,1,0.0004
Ac7_rdkit_conf_2,15,2,0.0000
Ac7_rdkit_conf_2,15,3,0.0002
Ac7_rdkit_conf_2,16,0,0.0000
Ac7_rdkit_conf_2,16,1,0.0000
Ac7_rdkit_conf_2,16,2,0.0000
Ac7_rdkit_conf_2,16,3,0.0001
Ac7_rdkit_conf_2,17,0,0.0001
Ac7_rdkit_conf_2,17,1,0.0002
