species,atom1,atom2,wiberg_bond_order,bond_length
Ac3_rdkit_conf_1,7,3,0.0010,4.11646599766766
Ac3_rdkit_conf_1,7,4,0.0030,2.7232797736707113
Ac3_rdkit_conf_1,7,5,0.0227,2.357586710703129
Ac3_rdkit_conf_1,7,6,0.9136,1.3320373486678216
Ac3_rdkit_conf_1,8,0,0.0000,6.066868877372741
Ac3_rdkit_conf_1,8,1,0.0002,5.8237935208022265
Ac3_rdkit_conf_1,8,2,0.0000,6.90025918943267
Ac3_rdkit_conf_1,8,3,0.0005,4.5910461746448386
Ac3_rdkit_conf_1,8,4,0.0080,3.429655740872107
Ac3_rdkit_conf_1,8,5,0.0220,2.34825574169446
Ac3_rdkit_conf_1,8,6,0.9038,1.3383157316825502
Ac3_rdkit_conf_1,8,7,0.0451,2.154586879883241
Ac3_rdkit_conf_1,9,0,0.0000,6.063595404918273
Ac3_rdkit_conf_1,9,1,0.0002,5.821262629947733
Ac3_rdkit_conf_1,9,2,0.0000,6.898099279030564
Ac3_rdkit_conf_1,9,3,0.0005,4.589413624353442
Ac3_rdkit_conf_1,9,4,0.0080,3.427552708745556
Ac3_rdkit_conf_1,9,5,0.0220,2.3482439190214035
Ac3_rdkit_conf_1,9,6,0.9037,1.3383198967619812
Ac3_rdkit_conf_1,9,7,0.0451,2.154560316495456
Ac3_rdkit_conf_1,9,8,0.0458,2.1484112399119497
Ac3_rdkit_conf_1,10,0,0.0108,5.017531535484754
