,File,atom,nbo_charge,nmr_shielding,neut_nat,neut_cm5,neut_mulliken,neut_hirsfeld,ox_nat,ox_cm5,ox_mulliken,ox_hirsfeld,red_nat,red_cm5,red_mulliken,red_hirsfeld
104,Ac7_rdkit_conf_3,14,0.19391,30.8753,0.19391,0.084085,0.149591,0.028331,0.21653,0.104984,0.191264,0.04923,0.17713,0.067482,0.111433,0.011728
105,Ac7_rdkit_conf_3,14,0.19391,30.8753,0.19391,0.084085,0.149591,0.028331,0.21653,0.104984,0.191264,0.04923,0.17713,0.067483,0.111449,0.011729
106,Ac7_rdkit_conf_3,15,0.19354,30.8330,0.19354,0.083622,0.144601,0.027879,0.21254,0.101275,0.184113,0.045532,0.18194,0.070894,0.112397,0.01515
107,Ac7_rdkit_conf_3,16,0.20885,30.3620,0.20885,0.085498,0.144891,0.030869,0.26265,0.124785,0.20342,0.070156,0.1814,0.059003,0.101568,0.004375
108,Ac7_rdkit_conf_3,13,0.21071,30.3054,0.21071,0.086896,0.144576,0.032208,0.25702,0.123716,0.200477,0.069028,0.1764,0.05508,0.086248,0.000392
109,Ac7_rdkit_conf_3,13,0.21071,30.3054,0.21071,0.086896,0.144576,0.032208,0.25702,0.123716,0.200477,0.069028,0.17642,0.055092,0.086293,0.000404
110,Ac7_rdkit_conf_3,13,0.21071,30.3054,0.21071,0.086896,0.144576,0.032208,0.25702,0.123716,0.200477,0.069028,0.1764,0.05508,0.086248,0.000392
111,Ac7_rdkit_conf_3,13,0.21071,30.3054,0.21071,0.086896,0.144576,0.032208,0.25702,0.123716,0.200477,0.069028,0.17642,0.055092,0.086293,0.000404
112,Ac7_rdkit_conf_3,14,0.19391,30.8753,0.19391,0.084085,0.149591,0.028331,0.21653,0.104984,0.191264,0.04923,0.17713,0.067482,0.111433,0.011728
113,Ac7_rdkit_conf_3,14,0.19391,30.8753,0.19391,0.084085,0.149591,0.028331,0.21653,0.104984,0.191264,0.04923,0.17713,0.067483,0.111449,0.011729
114,Ac7_rdkit_conf_3,11,0.21348,30.2151,0.21348,0.089636,0.154848,0.033319,0.24731,0.11704,0.200573,0.060722,0.19774,0.063533,0.092373,0.007215
115,Ac7_rdkit_conf_3,11,0.21348,30.2151,0.21348,0.089637,0.154849,0.033319,0.24731,0.11704,0.200573,0.060722,0.19772,0.063514,0.09229,0.007196
116,Ac7_rdkit_conf_3,11,0.21348,30.2151,0.21348,0.089636,0.154848,0.033319,0.24731,0.11704,0.200573,0.060722,0.19774,0.063533,0.092373,0.007215
117,Ac7_rdkit_conf_3,11,0.21348,30.2151,0.21348,0.089637,0.154849,0.033319,0.24731,0.11704,0.200573,0.060722,0.19772,0.063514,0.09229,0.007196
118,Ac7_rdkit_conf_3,12,0.20826,30.4898,0.20826,0.088497,0.171682,0.02889,0.2312,0.110214,0.21052,0.050607,0.19098,0.071231,0.137525,0.011624
119,Ac7_rdkit_conf_3,12,0.20826,30.4898,0.20826,0.088497,0.171682,0.02889,0.2312,0.110214,0.21052,0.050607,0.19098,0.071229,0.137516,0.011622
